id,location,text
home.classstyles.items.chinese_dance.image.alt,Homepage — Class styles — Chinese Dance — image description (accessibility),Chinese dance class
home.classstyles.items.chinese_dance.name,Homepage — Class styles — Chinese Dance — name,Chinese Dance
home.classstyles.items.contemporary.image.alt,Homepage — Class styles — Contemporary — image description (accessibility),Contemporary dance class
home.classstyles.items.contemporary.name,Homepage — Class styles — Contemporary — name,Contemporary
home.classstyles.items.tai_chi.image.alt,Homepage — Class styles — Tai Chi — image description (accessibility),Tai Chi class
home.classstyles.items.tai_chi.name,Homepage — Class styles — Tai Chi — name,Tai Chi
home.classstyles.items.tango.image.alt,Homepage — Class styles — Tango — image description (accessibility),Tango class
home.classstyles.items.tango.name,Homepage — Class styles — Tango — name,Tango
home.classstyles.items.yoga.image.alt,Homepage — Class styles — Yoga — image description (accessibility),Yoga class
home.classstyles.items.yoga.name,Homepage — Class styles — Yoga — name,Yoga
home.classstyles.overline,Homepage — Class styles — small label above the heading,Our disciplines
home.classstyles.subtitle,Homepage — Class styles — subtitle,"Adult classes in Contemporary, Chinese Dance, Tango, Yoga and Tai Chi — beginners welcome."
home.classstyles.title,Homepage — Class styles — heading,Class styles
home.aboutteaser.body.0,Homepage — About teaser — paragraph 1,"Founded at the historic County Hall, our school brings together rigorous technical training and a deeply supportive community."
home.aboutteaser.body.1,Homepage — About teaser — paragraph 2,"Whether you are taking your first plié or preparing for vocational study, our faculty guides every student with patience and precision."
home.aboutteaser.cta.label,Homepage — About teaser — label,About the school
home.aboutteaser.image.alt,Homepage — About teaser — image description (accessibility),Students and teachers in the County Hall studio corridor
home.aboutteaser.overline,Homepage — About teaser — small label above the heading,Our story
home.aboutteaser.title,Homepage — About teaser — heading,"Rooted in London, reaching for excellence"
home.privateevents.body,Homepage — Private events — body text,"Host an unforgettable birthday, hen party, or team celebration in our beautiful studios. Choose a theme, bring your guests, and leave the choreography to us."
home.privateevents.cta.label,Homepage — Private events — label,Enquire
home.privateevents.image.alt,Homepage — Private events — image description (accessibility),Private dance party celebration in studio
home.privateevents.overline,Homepage — Private events — small label above the heading,Celebrate with us
home.privateevents.title,Homepage — Private events — heading,Private events & parties
home.newsletter.description,Homepage — Newsletter — description,"Follow our journey and receive curated updates on classes, performances, and exclusive offers."
home.newsletter.overline,Homepage — Newsletter — small label above the heading,Join our circle
home.newsletter.placeholder,Homepage — Newsletter — placeholder text,Email address
home.newsletter.socialheading,Homepage — Newsletter — heading above social icons,Connect with us
home.newsletter.submitlabel,Homepage — Newsletter — button label,Sign up
home.newsletter.title,Homepage — Newsletter — heading,Newsletter & social
pages.common.eventdetailslink,Shared labels — details link on each event card,Details →
pages.common.viewcourselink,Shared labels — link on each course card,View course →
pages.studiohire.overview.hero.overline,Studio Hire overview — hero small label above the heading,South Bank studios
pages.studiohire.overview.hero.subtitle,Studio Hire overview — hero subtitle,"A multi-purpose space for classes, rehearsals, workshops, social dances, cultural events and private hire."
pages.studiohire.overview.hero.title,Studio Hire overview — hero heading,Studio Hire
pages.studiohire.overview.intro,Studio Hire overview — intro paragraph,"A flexible, multi-purpose dance and performing-arts space of around 300 m² (first phase), suitable for regular classes, rehearsals, workshops, social dances, cultural events and private hire."
pages.studiohire.overview.meta.description,Studio Hire overview — search-engine description,Hire a flexible dance and performing-arts space at County Hall on the South Bank.
pages.studiohire.overview.meta.title,Studio Hire overview — browser tab title,Studio Hire
pages.studiohire.overview.sections.enquiries.title,Studio Hire overview — Enquiries section heading,Booking & enquiries
pages.studiohire.overview.sections.pricing.title,Studio Hire overview — Pricing section heading,Pricing
pages.studiohire.overview.sections.space.title,Studio Hire overview — Space section heading,Space & facilities
pages.studiohire.subpages.our_space.hero.overline,Studio Hire — Our Space — hero small label above the heading,Studio Hire
pages.studiohire.subpages.our_space.hero.subtitle,Studio Hire — Our Space — hero subtitle,"Main dance and events space with wood floor, dance vinyl, mirrors, barres and flexible seating."
pages.studiohire.subpages.our_space.hero.title,Studio Hire — Our Space — hero heading,Our Space
pages.studiohire.subpages.our_space.intro,Studio Hire — Our Space — intro paragraph,"Main dance and events space — around 300 m² in total, planned to include approx. 200 m² of wood floor and approx. 60 m² of professional dance vinyl, a mirrored wall, dance barres, a sound system, event lighting, a reception/lounge area and flexible seating."
pages.studiohire.subpages.our_space.meta.description,Studio Hire — Our Space — search-engine description,Studio space and facilities at County Hall Dance Centre.
pages.studiohire.subpages.our_space.meta.title,Studio Hire — Our Space — browser tab title,Our Space
pages.studiohire.subpages.our_space.sections.capacity.title,Studio Hire — Our Space — Capacity section heading,Capacity
pages.studiohire.subpages.our_space.sections.facilities.title,Studio Hire — Our Space — Facilities section heading,Facilities
pages.studiohire.subpages.space_booking.hero.overline,Studio Hire — Space Booking — hero small label above the heading,Studio Hire
pages.studiohire.subpages.space_booking.hero.subtitle,Studio Hire — Space Booking — hero subtitle,"Tell us your preferred date, activity and group size — we will respond with availability."
pages.studiohire.subpages.space_booking.hero.title,Studio Hire — Space Booking — hero heading,Space Booking
pages.studiohire.subpages.space_booking.intro,Studio Hire — Space Booking — intro paragraph,"Enquire via our Studio Hire form or email info@countyhalldancecentre.com. The form collects your preferred date and time, activity type, expected numbers, equipment needs and contact details."
pages.studiohire.subpages.space_booking.meta.description,Studio Hire — Space Booking — search-engine description,Enquire about studio hire at County Hall Dance Centre.
pages.studiohire.subpages.space_booking.meta.title,Studio Hire — Space Booking — browser tab title,Space Booking
pages.studiohire.subpages.space_booking.sections.enquiry_form.title,Studio Hire — Space Booking — Enquiry Form section heading,Enquiry form
pages.studiohire.subpages.space_booking.sections.how_to_book.title,Studio Hire — Space Booking — How To Book section heading,How to book
pages.classes.cta.label,Classes — button / call to action — label,View timetable
pages.classes.detaillabels.agegroups,Classes — sidebar heading,Age groups
pages.classes.detaillabels.backlink,Classes — back link,← Classes
pages.classes.hero.overline,Classes — hero small label above the heading,Find your style
pages.classes.hero.subtitle,Classes — hero subtitle,Adult dance and movement classes for every background and level — beginners welcome.
pages.classes.hero.title,Classes — hero heading,Classes
pages.classes.intro,Classes — intro paragraph,"Explore adult classes in Contemporary, Chinese Dance, Tango, Yoga and Tai Chi. Every class is clearly labelled Beginner, Open Level or Intermediate."
pages.classes.meta.description,Classes — description (browser tab / search engines),"Adult classes in Contemporary, Chinese Dance, Tango, Yoga and Tai Chi at County Hall Dance Centre."
pages.classes.meta.title,Classes — heading (browser tab / search engines),Classes
pages.classes.styles.chinese_dance.agegroups.adults.description,Classes — Chinese Dance — age group description,Designed for adult learners at every stage.
pages.classes.styles.chinese_dance.agegroups.adults.label,Classes — Chinese Dance — age group label,Adults
pages.classes.styles.chinese_dance.cta.label,Classes — Chinese Dance — button,Book a class
pages.classes.styles.chinese_dance.hero.image.alt,Classes — Chinese Dance — hero image description (accessibility),Chinese dance class
pages.classes.styles.chinese_dance.hero.overline,Classes — Chinese Dance — hero small label above the heading,Grace & line
pages.classes.styles.chinese_dance.hero.subtitle,Classes — Chinese Dance — hero subtitle,"Classical Chinese dance to build body control, flexibility and stage presence."
pages.classes.styles.chinese_dance.hero.title,Classes — Chinese Dance — hero heading,Chinese Dance
pages.classes.styles.chinese_dance.highlights.0.description,Classes — Chinese Dance — highlight 1 description,Discover the artistry of classical Chinese movement.
pages.classes.styles.chinese_dance.highlights.0.title,Classes — Chinese Dance — highlight 1 heading,Cultural expression
pages.classes.styles.chinese_dance.highlights.1.description,Classes — Chinese Dance — highlight 2 description,"Develop line, poise and body awareness."
pages.classes.styles.chinese_dance.highlights.1.title,Classes — Chinese Dance — highlight 2 heading,Flexibility & control
pages.classes.styles.chinese_dance.highlights.2.description,Classes — Chinese Dance — highlight 3 description,Beginners welcome — check the level on each class.
pages.classes.styles.chinese_dance.highlights.2.title,Classes — Chinese Dance — highlight 3 heading,All levels
pages.classes.styles.chinese_dance.intro.0,Classes — Chinese Dance — paragraph 1,"Blending the grace, line and cultural expression of classical Chinese dance to build body control, flexibility and stage presence."
pages.classes.styles.chinese_dance.metadescription,Classes — Chinese Dance — search-engine description,"Chinese dance classes blending classical grace, line and cultural expression for adults."
pages.classes.styles.chinese_dance.name,Classes — Chinese Dance — name,Chinese Dance
pages.classes.styles.contemporary.agegroups.adults.description,Classes — Contemporary — age group description,Open to all backgrounds — no dance experience needed.
pages.classes.styles.contemporary.agegroups.adults.label,Classes — Contemporary — age group label,Adults
pages.classes.styles.contemporary.cta.label,Classes — Contemporary — button,Book a class
pages.classes.styles.contemporary.hero.image.alt,Classes — Contemporary — hero image description (accessibility),Contemporary dance class
pages.classes.styles.contemporary.hero.overline,Classes — Contemporary — hero small label above the heading,Modern dance
pages.classes.styles.contemporary.hero.subtitle,Classes — Contemporary — hero subtitle,"Develop coordination, strength and creativity through flow, space and physical expression."
pages.classes.styles.contemporary.hero.title,Classes — Contemporary — hero heading,Contemporary
pages.classes.styles.contemporary.highlights.0.description,Classes — Contemporary — highlight 1 description,"Explore space, dynamics and personal expression."
pages.classes.styles.contemporary.highlights.0.title,Classes — Contemporary — highlight 1 heading,Creative movement
pages.classes.styles.contemporary.highlights.1.description,Classes — Contemporary — highlight 2 description,Build physical confidence through structured practice.
pages.classes.styles.contemporary.highlights.1.title,Classes — Contemporary — highlight 2 heading,Strength & coordination
pages.classes.styles.contemporary.highlights.2.description,Classes — Contemporary — highlight 3 description,"Classes labelled Beginner, Open Level or Intermediate."
pages.classes.styles.contemporary.highlights.2.title,Classes — Contemporary — highlight 3 heading,All levels
pages.classes.styles.contemporary.intro.0,Classes — Contemporary — paragraph 1,"Develop coordination, strength and creativity through flow, space and physical expression."
pages.classes.styles.contemporary.intro.1,Classes — Contemporary — paragraph 2,Ideal for adults keen to explore the language of modern dance.
pages.classes.styles.contemporary.metadescription,Classes — Contemporary — search-engine description,"Contemporary dance classes for adults at County Hall Dance Centre — flow, space and physical expression."
pages.classes.styles.contemporary.name,Classes — Contemporary — name,Contemporary
pages.classes.styles.tai_chi.agegroups.adults.description,Classes — Tai Chi — age group description,Suitable for every age and fitness level.
pages.classes.styles.tai_chi.agegroups.adults.label,Classes — Tai Chi — age group label,Adults
pages.classes.styles.tai_chi.cta.label,Classes — Tai Chi — button,Book a class
pages.classes.styles.tai_chi.hero.image.alt,Classes — Tai Chi — hero image description (accessibility),Tai Chi class
pages.classes.styles.tai_chi.hero.overline,Classes — Tai Chi — hero small label above the heading,Flow & balance
pages.classes.styles.tai_chi.hero.subtitle,Classes — Tai Chi — hero subtitle,"Cultivate balance, relaxation and body awareness through slow, flowing movement."
pages.classes.styles.tai_chi.hero.title,Classes — Tai Chi — hero heading,Tai Chi
pages.classes.styles.tai_chi.highlights.0.description,Classes — Tai Chi — highlight 1 description,"Slow, intentional movement for calm and focus."
pages.classes.styles.tai_chi.highlights.0.title,Classes — Tai Chi — highlight 1 heading,Mind-body practice
pages.classes.styles.tai_chi.highlights.1.description,Classes — Tai Chi — highlight 2 description,Develop stability and gentle strength.
pages.classes.styles.tai_chi.highlights.1.title,Classes — Tai Chi — highlight 2 heading,Balance & awareness
pages.classes.styles.tai_chi.highlights.2.description,Classes — Tai Chi — highlight 3 description,Welcoming to complete beginners.
pages.classes.styles.tai_chi.highlights.2.title,Classes — Tai Chi — highlight 3 heading,All levels
pages.classes.styles.tai_chi.intro.0,Classes — Tai Chi — paragraph 1,"Cultivate balance, relaxation and body awareness through slow, flowing movement, breath and shifts of weight."
pages.classes.styles.tai_chi.metadescription,Classes — Tai Chi — search-engine description,"Tai Chi classes for adults — balance, relaxation and body awareness."
pages.classes.styles.tai_chi.name,Classes — Tai Chi — name,Tai Chi
pages.classes.styles.tango.agegroups.adults.description,Classes — Tango — age group description,No partner or experience required to begin.
pages.classes.styles.tango.agegroups.adults.label,Classes — Tango — age group label,Adults
pages.classes.styles.tango.cta.label,Classes — Tango — button,Book a class
pages.classes.styles.tango.hero.image.alt,Classes — Tango — hero image description (accessibility),Tango class
pages.classes.styles.tango.hero.overline,Classes — Tango — hero small label above the heading,Connection & musicality
pages.classes.styles.tango.hero.subtitle,Classes — Tango — hero subtitle,"Learn lead and follow, musicality and the etiquette of social dance."
pages.classes.styles.tango.hero.title,Classes — Tango — hero heading,Tango
pages.classes.styles.tango.highlights.0.description,Classes — Tango — highlight 1 description,"Lead, follow and floor etiquette from day one."
pages.classes.styles.tango.highlights.0.title,Classes — Tango — highlight 1 heading,Social dance skills
pages.classes.styles.tango.highlights.1.description,Classes — Tango — highlight 2 description,Move with confidence to live and recorded tango music.
pages.classes.styles.tango.highlights.1.title,Classes — Tango — highlight 2 heading,Musicality
pages.classes.styles.tango.highlights.2.description,Classes — Tango — highlight 3 description,Join our social dance nights and themed events.
pages.classes.styles.tango.highlights.2.title,Classes — Tango — highlight 3 heading,Milongas & events
pages.classes.styles.tango.intro.0,Classes — Tango — paragraph 1,"Learn connection, lead and follow, musicality and the etiquette of social dance, building confidence from the very first steps."
pages.classes.styles.tango.metadescription,Classes — Tango — search-engine description,"Tango classes for adults — connection, musicality and social dance etiquette."
pages.classes.styles.tango.name,Classes — Tango — name,Tango
pages.classes.styles.yoga.agegroups.adults.description,Classes — Yoga — age group description,Open to beginners and returning practitioners.
pages.classes.styles.yoga.agegroups.adults.label,Classes — Yoga — age group label,Adults
pages.classes.styles.yoga.cta.label,Classes — Yoga — button,Book a class
pages.classes.styles.yoga.hero.image.alt,Classes — Yoga — hero image description (accessibility),Yoga class
pages.classes.styles.yoga.hero.overline,Classes — Yoga — hero small label above the heading,Breath & stretch
pages.classes.styles.yoga.hero.subtitle,Classes — Yoga — hero subtitle,"Improve flexibility and overall wellbeing through breath, stretch and focused practice."
pages.classes.styles.yoga.hero.title,Classes — Yoga — hero heading,Yoga
pages.classes.styles.yoga.highlights.0.description,Classes — Yoga — highlight 1 description,"Stretch, breathe and restore balance."
pages.classes.styles.yoga.highlights.0.title,Classes — Yoga — highlight 1 heading,Wellbeing focus
pages.classes.styles.yoga.highlights.1.description,Classes — Yoga — highlight 2 description,"A calm, focused environment for every body."
pages.classes.styles.yoga.highlights.1.title,Classes — Yoga — highlight 2 heading,Music-guided practice
pages.classes.styles.yoga.highlights.2.description,Classes — Yoga — highlight 3 description,Check class information for level and format details.
pages.classes.styles.yoga.highlights.2.title,Classes — Yoga — highlight 3 heading,All levels
pages.classes.styles.yoga.intro.0,Classes — Yoga — paragraph 1,"Improve flexibility and overall wellbeing through breath, stretch and focused, music-guided practice."
pages.classes.styles.yoga.metadescription,Classes — Yoga — search-engine description,"Yoga classes for adults — flexibility, breath and wellbeing at County Hall Dance Centre."
pages.classes.styles.yoga.name,Classes — Yoga — name,Yoga
pages.classesinfo.hero.overline,Class descriptions page — hero small label above the heading,Classes
pages.classesinfo.hero.subtitle,Class descriptions page — hero subtitle,Explore our adult dance and movement programme and meet the teaching team.
pages.classesinfo.hero.title,Class descriptions page — hero heading,Class Descriptions & Instructors
pages.classesinfo.intro,Class descriptions page — intro paragraph,"Every class is clearly labelled Beginner, Open Level or Intermediate. Beginners welcome — no dance experience needed."
pages.classesinfo.meta.description,Class descriptions page — description (browser tab / search engines),Class descriptions and instructor profiles for adult classes at County Hall Dance Centre.
pages.classesinfo.meta.title,Class descriptions page — heading (browser tab / search engines),Class Descriptions & Instructors
pages.classesinfo.sections.descriptions.title,Class descriptions page — Descriptions section heading,Class Descriptions
pages.classesinfo.sections.instructors.title,Class descriptions page — Instructors section heading,Instructors
pages.classbooking.hero.overline,Class booking page — hero small label above the heading,Classes
pages.classbooking.hero.subtitle,Class booking page — hero subtitle,View live availability and reserve your place through our booking partner.
pages.classbooking.hero.title,Class booking page — hero heading,Booking
pages.classbooking.intro,Class booking page — intro paragraph,Choose a class from the timetable and follow the booking link. Advance booking is recommended.
pages.classbooking.meta.description,Class booking page — description (browser tab / search engines),Book adult dance and movement classes at County Hall Dance Centre.
