id,location,text
home.quickactions.overline,"Small label above the section title","Get started"
home.quickactions.items.book_a_class.label,"Card 1 — title (Book a Class)","Book a Class"
home.quickactions.items.book_a_class.description,"Card 1 — short description","View the weekly timetable and reserve your place."
home.quickactions.items.book_a_course.label,"Card 2 — title (Book an Event)","Book an Event"
home.quickactions.items.book_a_course.description,"Card 2 — short description","Term-length programmes with clear progression."
home.quickactions.items.free_trial.label,"Card 3 — title (Free Trial)","Free Trial"
home.quickactions.items.free_trial.description,"Card 3 — short description","Try a class with no obligation — we welcome newcomers."
home.quickactions.linksuffix,"Link text at the bottom of each card (e.g. Learn more →)","Learn more →"
home.events.overline,"Small label above the section title","What's on"
home.events.title,"Section heading","Upcoming masterclasses & events"
home.events.viewall.label,"View all events — link at the end of the row","View all events"
home.events.items.contemporary_intensive_maya_chen.title,"Event card 1 — event name","Contemporary Intensive with Maya Chen"
home.events.items.contemporary_intensive_maya_chen.date,"Event card 1 — date","Saturday 18 October 2026"
home.events.items.contemporary_intensive_maya_chen.location,"Event card 1 — location","Studio A"
home.events.items.contemporary_intensive_maya_chen.booknow.label,"Event card 1 — Book Now button","Book Now"
home.events.items.contemporary_intensive_maya_chen.image.alt,"Event card 1 — image description (accessibility)","Contemporary dance intensive workshop"
home.events.items.junior_ballet_masterclass.title,"Event card 2 — event name","Junior Ballet Masterclass"
home.events.items.junior_ballet_masterclass.date,"Event card 2 — date","Sunday 26 October 2026"
home.events.items.junior_ballet_masterclass.location,"Event card 2 — location","Studio B"
home.events.items.junior_ballet_masterclass.booknow.label,"Event card 2 — Book Now button","Book Now"
home.events.items.junior_ballet_masterclass.image.alt,"Event card 2 — image description (accessibility)","Junior ballet masterclass in progress"
home.events.items.musical_theatre_workshop_day.title,"Event card 3 — event name","Musical Theatre Workshop Day"
home.events.items.musical_theatre_workshop_day.date,"Event card 3 — date","Saturday 8 November 2026"
home.events.items.musical_theatre_workshop_day.location,"Event card 3 — location","Main Hall"
home.events.items.musical_theatre_workshop_day.booknow.label,"Event card 3 — Book Now button","Book Now"
home.events.items.musical_theatre_workshop_day.image.alt,"Event card 3 — image description (accessibility)","Musical theatre workshop participants on stage"
home.events.items.winter_showcase.title,"Event card 4 — event name","Winter Showcase — Tickets On Sale"
home.events.items.winter_showcase.date,"Event card 4 — date","Friday 12 December 2026"
home.events.items.winter_showcase.location,"Event card 4 — location","County Hall Theatre"
home.events.items.winter_showcase.booknow.label,"Event card 4 — Book Now button","Book Now"
home.events.items.winter_showcase.image.alt,"Event card 4 — image description (accessibility)","Winter showcase performance lighting"
home.classstyles.overline,"Small label above the section title","Our disciplines"
home.classstyles.title,"Section heading","Class styles"
home.classstyles.subtitle,"Short line under the heading","Adult classes in Contemporary, Chinese Dance, Tango, Yoga and Tai Chi — beginners welcome."
home.classstyles.items.contemporary.name,"Tile 1 — style name (Contemporary)","Contemporary"
home.classstyles.items.contemporary.image.alt,"Tile 1 — image description (accessibility)","Contemporary dance class"
home.classstyles.items.chinese_dance.name,"Tile 2 — style name (Chinese Dance)","Chinese Dance"
home.classstyles.items.chinese_dance.image.alt,"Tile 2 — image description (accessibility)","Chinese dance class"
home.classstyles.items.tango.name,"Tile 3 — style name (Tango)","Tango"
home.classstyles.items.tango.image.alt,"Tile 3 — image description (accessibility)","Tango class"
home.classstyles.items.yoga.name,"Tile 4 — style name (Yoga)","Yoga"
home.classstyles.items.yoga.image.alt,"Tile 4 — image description (accessibility)","Yoga class"
home.classstyles.items.tai_chi.name,"Tile 5 — style name (Tai Chi)","Tai Chi"
home.classstyles.items.tai_chi.image.alt,"Tile 5 — image description (accessibility)","Tai Chi class"
home.aboutteaser.overline,"Small label above the section title","Our story"
home.aboutteaser.title,"Section heading","Rooted in London, reaching for excellence"
home.aboutteaser.body.0,"First paragraph","Founded at the historic County Hall, our school brings together rigorous technical training and a deeply supportive community."
home.aboutteaser.body.1,"Second paragraph","Whether you are taking your first plié or preparing for vocational study, our faculty guides every student with patience and precision."
home.aboutteaser.cta.label,"Button label (About the school)","About the school"
home.aboutteaser.image.alt,"Photo description (accessibility)","Students and teachers in the County Hall studio corridor"
home.privateevents.overline,"Small label above the section title","Celebrate with us"
home.privateevents.title,"Section heading","Private events & parties"
home.privateevents.body,"Description paragraph","Host an unforgettable birthday, hen party, or team celebration in our beautiful studios. Choose a theme, bring your guests, and leave the choreography to us."
home.privateevents.cta.label,"Button label (Enquire)","Enquire"
home.privateevents.image.alt,"Photo description (accessibility)","Private dance party celebration in studio"
home.newsletter.overline,"Small label above the section title","Join our circle"
home.newsletter.title,"Section heading","Newsletter & social"
home.newsletter.description,"Description under the heading","Follow our journey and receive curated updates on classes, performances, and exclusive offers."
home.newsletter.placeholder,"Email input placeholder text","Email address"
home.newsletter.submitlabel,"Sign up button label","Sign up"
home.newsletter.socialheading,"Heading above social media icons","Connect with us"
